name,adress,c,cp,e,date,note,h,adress2,lat,long
"FT 33","1617 HI LINE DR",250,75207,"45E",02/08/2014,95,"Routine","1617 HI LINE DR,DALLAS,TX,75207","32,795258","-96,819397"
"AGUAS FRESCAS Y MAS","803 S BEACON ST",300,75223,"46H",11/10/2014,93,"Routine","803 S BEACON ST,DALLAS,TX,75223","32,796345","-96,750717"
"BLUE BIRD","11434 EMERALD ST","#106",75229,"22D",29/10/2014,94,"Routine","11434 EMERALD ST,DALLAS,TX,75229","32,795258","-96,819397"
"CARNCERIA MEXICO","5417 BERNAL DR"," ",75212,"42Q",26/08/2014,89,"Routine","5417 BERNAL DR,DALLAS,TX,75212","32,796345","-96,750717"
"CLIFF'S BAR & GRILL","3403 MCKINNEY AVE"," ",75204,"35Y",01/05/2014,86,"Routine","3403 MCKINNEY AVE,DALLAS,TX,75204","32,897076","-96,898895"
"D.F. DISTRIBUTION CENTER","13331 PRESTON RD","#1032",75240,"15P",08/09/2014,97,"Routine","13331 PRESTON RD,DALLAS,TX,75240","32,777443","-96,909561"
"DALLAS SPEED ZONE","11130 MALIBU DR"," ",75229,"22L",17/06/2014,94,"Routine","11130 MALIBU DR,DALLAS,TX,75229","32,80534","-96,79908"
"EL JALISCO","4601 MAPLE AVE"," ",75219,"34Z",28/08/2014,90,"Routine","4601 MAPLE AVE,DALLAS,TX,75219","32,9293057","-96,8036639"
"EL PUEBLO","910 S HAMPTON RD","E",75208,"53M",30/04/2014,86,"Follow-up","910 S HAMPTON RD,DALLAS,TX,75208","32,884758","-96,899612"
"FRESHII","3600 GASTON AVE"," ",75246,"45M",07/08/2013,88,"Routine","3600 GASTON AVE,DALLAS,TX,75246","32,81255","-96,824295"
"GOGI STEAK & TACO","2626 S WESTMORELAND RD",600,75211,"53T",21/05/2014,83,"Routine","2626 S WESTMORELAND RD,DALLAS,TX,75211","32,736534","-96,8563"
"GREEN GROCER","3614 GREENVILLE AVE"," ",75206,"36P",16/10/2014,89,"Routine","3614 GREENVILLE AVE,DALLAS,TX,75206","32,792053","-96,779884"
"HILTON DALLAS LINCOLN CENTRE - EMP CAFETERIA","5410 LBJ FRWY"," ",75240,"15N",07/11/2014,100,"Routine","5410 LBJ FRWY,DALLAS,TX,75240","32,719608","-96,873886"
"HYATT HOUSE HOTEL - MARKET","2914 HARRY HINES BLVD"," ",75201,"45E",10/07/2014,94,"Routine","2914 HARRY HINES BLVD,DALLAS,TX,75201","32,8320482","-96,770082"
"HYATT HOUSE HOTEL - MARKET","2914 HARRY HINES BLVD"," ",75201,"45E",10/07/2014,94,"Routine","2914 HARRY HINES BLVD,DALLAS,TX,75201","32,92403","-96,816971"
"KAY'S PLACE - GO NATURAL","650 S GRIFFIN ST"," ",75202,"45P",30/09/2014,96,"Routine","650 S GRIFFIN ST,DALLAS,TX,75202","32,794994","-96,809982"
"KOLTON'S FIND FOOD GRILL","4131 N WESTMORELAND RD","#B",75212,"43F",27/03/2014,87,"Routine","4131 N WESTMORELAND RD,DALLAS,TX,75212","32,794994","-96,809982"
"LA OFICINA NIGHT CLUB","10830 HARRY HINES BLVD"," ",75220,"23N",23/10/2014,87,"Routine","10830 HARRY HINES BLVD,DALLAS,TX,75220","32,7746844","-96,8015014"
"LOUISIANA FAMOUS FRIED CHICKEN","7932 GREAT TRINITY FOREST WAY","#101A",75217,"58Y",10/09/2014,88,"Routine","7932 GREAT TRINITY FOREST WAY,DALLAS,TX,75217","32,79224","-96,874161"
"LUCKY BINGO","212 WESTERN PARK VILLAGE "," ",75211,"52V",19/08/2014,93,"Routine","212 WESTERN PARK VILLAGE ,DALLAS,TX,75211","32,875244","-96,883438"
"MARISCOS EL RIO","3620 S BUCKNER BLVD"," ",75227,"48Y",05/10/2014,81,"Routine","3620 S BUCKNER BLVD,DALLAS,TX,75227","32,7115402","-96,6852341"
"MICHOACANOS TAQUERIA","2725 S BUCKNER BLVD",100,75227,"48Y",22/03/2014,80,"Routine","2725 S BUCKNER BLVD,DALLAS,TX,75227","32,7365952","-96,905777"
"PUPUSERIA Y TAQUERIA LOS FRIETAS","1328 N JIM MILLER RD","#101",75217,"58J",04/02/2014,82,"Routine","1328 N JIM MILLER RD,DALLAS,TX,75217","32,768449","-96,6825642"
"303 BAR & GRILL (BAR AREA)","303 W DAVIS ST"," ",75208,"54A",24/07/2014,90,"Routine","303 W DAVIS ST,DALLAS,TX,75208","32,7582941","-96,6829444"
"7 - ELEVEN","9230 SKILLMAN ST","#201",75243,"27D",22/09/2014,93,"Routine","9230 SKILLMAN ST,DALLAS,TX,75243","32,735561","-96,69957"
"7 - ELEVEN #35421","10804 PRESTON RD"," ",75230,"25F",18/11/2014,86,"Routine","10804 PRESTON RD,DALLAS,TX,75230","32,749592","-96,826973"
"7 ELEVEN","5501 S BUCKNER BLVD"," ",75228,"48C",01/04/2014,85,"Routine","5501 S BUCKNER BLVD,DALLAS,TX,75228","32,902973","-96,713631"
"7-ELEVEN","6833 W NORTHWEST HWY"," ",75225,"25U",11/08/2014,83,"Routine","6833 W NORTHWEST HWY,DALLAS,TX,75225","32,895161","-96,803574"
"7-ELEVEN","11803 PRESTON RD"," ",75230,"15X",12/11/2014,93,"Routine","11803 PRESTON RD,DALLAS,TX,75230","32,792919","-96,685547"
"7-ELEVEN #34997","1010 ROSS AVE"," ",75221,"45P",06/03/2014,94,"Routine","1010 ROSS AVE,DALLAS,TX,75221","32,866035","-96,787491"
"7-ELEVEN #35425","8302 ABRAMS RD"," ",75243,"27E",02/05/2013,94,"Routine","8302 ABRAMS RD,DALLAS,TX,75243","32,909874","-96,804329"
"7-ELEVEN #35425 ","8302 ABRAMS RD ",,75243,"27E ",16/06/2014,87,"Routine","8302 ABRAMS RD ,DALLAS,TX,75243","32,7826727","-96,8042379"
"8020 RESTAURANT ","2008 GREENVILLE AVE ",,75206,"36X ",09/09/2014,86,"Routine","2008 GREENVILLE AVE ,DALLAS,TX,75206","32,893277","-96,7405904"
"A AND A'S QUICKSTOP ","4307 DUNCANVILLE RD ","#101 ",75236,"62F ",19/08/2014,93,"Routine","4307 DUNCANVILLE RD ,DALLAS,TX,75236","32,893277","-96,7405904"
"A TO Z FOOD MART ","2120 N ST AUGUSTINE RD ","#130 ",75227,"59B ",01/10/2014,96,"Routine","2120 N ST AUGUSTINE RD ,DALLAS,TX,75227","32,814358","-96,769791"
"KHAN ","2240 ROYAL LN ","#102 ",75229,"22G ",24/11/2014,80,"Routine","2240 ROYAL LN ,DALLAS,TX,75229","32,689182","-96,909027"
"BURGER ISLAND ","3128 FOREST LN ","#228 ",75234,"13Y ",12/11/2014,84,"Routine","3128 FOREST LN ,DALLAS,TX,75234","32,7493744","-96,6562042"
"ALOFT DALLAS ","1033 YOUNG ST ","#100 ",75202,"45P ",17/11/2014,87,"Routine","1033 YOUNG ST ,DALLAS,TX,75202","32,894581","-96,903191"
"EDIBLE ALOFT ","1033 YOUNG ST ",50,75202,"45P ",17/11/2014,87,"Routine","1033 YOUNG ST ,DALLAS,TX,75202","32,9095982","-96,8717759"
"AMADI GUESS FOUNDATION ","3427 TRINITY MILLS RD ","#700 ",75287,"04L ",24/04/2013,84,"Routine","3427 TRINITY MILLS RD ,DALLAS,TX,75287","32,77721","-96,801193"
"ANN RICHARDS MIDDLE SCHOOL ","3831 N PRAIRIE CREEK ",,75227,"59A ",03/04/2014,100,"Routine","3831 N PRAIRIE CREEK ,DALLAS,TX,75227","32,77721","-96,801193"
"ARCADIA WINE & SPIRITS ","5626 E RL THORNTON FRWY ",,75235,"46H ",22/05/2014,100,"Routine","5626 E RL THORNTON FRWY ,DALLAS,TX,75235","32,9871623","-96,851369"
"B-Z MART ","5455 N JIM MILLER RD ",,75227,"48N ",26/08/2013,88,"Routine","5455 N JIM MILLER RD ,DALLAS,TX,75227","32,7714604","-96,6655268"
"THE ORIGINAL PANCAKE HOUS ","4343 W NORTHWEST HWY ","#375 ",75220,"24X ",18/11/2014,82,"Routine","4343 W NORTHWEST HWY ,DALLAS,TX,75220","32,7744408","-96,7928772"
"BANGKOK INN ","6033 ORAM ST ",,75206,"36X ",18/11/2014,71,"Routine","6033 ORAM ST ,DALLAS,TX,75206","32,7906825","-96,7001414"
"BAR LOUIE ","8166 PARK LN ","#C310 ",75231,"26Y ",23/06/2014,94,"Routine","8166 PARK LN ,DALLAS,TX,75231","32,865593","-96,836128"
"PARK KITCHEN & BAR ","8166 PARK LN ","#C310 ",75231,"26Y ",23/06/2014,90,"Routine","8166 PARK LN ,DALLAS,TX,75231","32,8139231","-96,7624611"
"BAYLOR CANCER CENTER (COFFEE SHOP) ","3410 WORTH ST ",,75246,"46J ",29/07/2014,100,"Routine","3410 WORTH ST ,DALLAS,TX,75246","32,87183","-96,7657401"
"BAYLOR CANCER CENTER KITCHEN DINING SERVERY ","3410 WORTH ST ",,75246,"46J ",29/07/2014,97,"Routine","3410 WORTH ST ,DALLAS,TX,75246","32,87183","-96,7657401"
"MING PLACE CHINA BISTRO ","5715 LEMMON AVE ",3,75209,"34L ",01/07/2014,85,"Routine","5715 LEMMON AVE ,DALLAS,TX,75209","32,787964","-96,778786"
"POTBELLY SANDWICH WORKS ","5715 LEMMON AVE ",,75209,"34L ",01/07/2014,90,"Routine","5715 LEMMON AVE ,DALLAS,TX,75209","32,787964","-96,778786"
"BISHOP ARTS WINERY ","838 W DAVIS ST ",,75208,"54B ",17/05/2014,90,"Routine","838 W DAVIS ST ,DALLAS,TX,75208","32,829971","-96,827286"
"BOCA CHICA ","8160 PARK LN ","C-340 ",75231,"26T ",04/06/2013,80,"Routine","8160 PARK LN ,DALLAS,TX,75231","32,829971","-96,827286"
"BOHEMIAN CAFE ","1905 GREENVILLE AVE ","#A ",75206,"36X ",16/02/2014,80,"Routine","1905 GREENVILLE AVE ,DALLAS,TX,75206","32,7494401","-96,8366752"
"CUZCO LATIN CUISINE ","9220 SKILLMAN ST ","#124 ",75243,"27D ",19/11/2014,84,"Routine","9220 SKILLMAN ST ,DALLAS,TX,75243","32,8718314","-96,7657529"
"BRUTON STORE ","9199 BRUTON RD ",,75217,"59B ",16/01/2014,96,"Routine","9199 BRUTON RD ,DALLAS,TX,75217","32,8135939","-96,7702489"
"BUCKNER FOOD MART ","1731 S BUCKNER BLVD ",,75217,"58G ",11/10/2014,85,"Routine","1731 S BUCKNER BLVD ,DALLAS,TX,75217","32,90218","-96,71431"
"BURGER KING ","2828 W NORTHWEST HWY ",,75220,"23X ",20/11/2014,91,"Routine","2828 W NORTHWEST HWY ,DALLAS,TX,75220","32,749016","-96,665909"
"BUZZBREWS LAKEWOOD #4 ","5815 LIVE OAK ST ",102,75214,"36Y ",23/12/2013,88,"Routine","5815 LIVE OAK ST ,DALLAS,TX,75214","32,742393","-96,68322"
"KHAN ","2240 ROYAL LN ","#102 ",75229,"22G ",24/11/2014,80,"Routine","2240 ROYAL LN ,DALLAS,TX,75229","32,8575902","-96,8734905"
"CAMPO ","1115 N BECKLEY AVE ",,75203,"54D ",07/03/2014,85,"Follow-up","1115 N BECKLEY AVE ,DALLAS,TX,75203","32,812431","-96,76149"
"CEDARS WOODFIRE GRILL ","12200 PRESTON RD ","#100 ",75230,"15X ",31/07/2014,90,"Routine","12200 PRESTON RD ,DALLAS,TX,75230","32,894581","-96,903191"
"CHAMPION BILLARD & GAMES ","9530 OVERLAKE DR ","#D ",75220,"23Y ",29/10/2014,84,"Routine","9530 OVERLAKE DR ,DALLAS,TX,75220","32,757099","-96,823242"
"SEASON'S 52 BAR ","8687 N CENTRAL EXPW ",307,75231,"26S ",20/11/2014,100,"Routine","8687 N CENTRAL EXPW ,DALLAS,TX,75231","32,91486","-96,802673"
"CHIPOTLE MEXICAN GRILL ","8687 N CENTRAL EXPW ","#2396 ",75231,"26S ",20/11/2014,84,"Routine","8687 N CENTRAL EXPW ,DALLAS,TX,75231","32,857479","-96,869362"
"SEASON'S 52 FRESH GRILL ","8687 N CENTRAL EXPW ",307,75231,"26S ",20/11/2014,94,"Routine","8687 N CENTRAL EXPW ,DALLAS,TX,75231","32,8660698","-96,7687836"
"CHIPOTLE MEXICAN GRILL ","14715 COIT RD ","#100 ",75254,"16F ",24/09/2014,84,"Routine","14715 COIT RD ,DALLAS,TX,75254","32,8660698","-96,7687836"
"FUJI YAMA ","18217 MIDWAY RD ","#108 ",75287,"04F ",28/07/2014,80,"Routine","18217 MIDWAY RD ,DALLAS,TX,75287","32,8660698","-96,7687836"
"SANDWICH & SALAD AREA ","5600 W LOVERS LN ",136,75209,"35A ",01/10/2014,97,"Routine","5600 W LOVERS LN ,DALLAS,TX,75209","32,9495946","-96,769044"
"CHEF CASE AREA ","5600 W LOVERS LN ",136,75209,"35A ",01/10/2014,97,"Routine","5600 W LOVERS LN ,DALLAS,TX,75209","32,9981084","-96,8439808"
"EATZIS BAKERY AREA ","5600 W LOVERS LN ",136,75209,"35A ",01/10/2014,96,"Routine","5600 W LOVERS LN ,DALLAS,TX,75209","32,850643","-96,816322"
"EATZIS DELI AREA ","5600 W LOVERS LN ",136,75209,"35A ",01/10/2014,100,"Routine","5600 W LOVERS LN ,DALLAS,TX,75209","32,850643","-96,816322"
"EATZIS GRILL AREA ","5600 W LOVERS LN ",136,75209,"35A ",01/10/2014,92,"Routine","5600 W LOVERS LN ,DALLAS,TX,75209","32,850643","-96,816322"
"EATZIS GROCERY(COFFEE) AREA ","5600 W LOVERS LN ",136,75209,"35A ",01/10/2014,100,"Routine","5600 W LOVERS LN ,DALLAS,TX,75209","32,850643","-96,816322"
"QDOBA MEXICAN GRILL ","5600 W LOVERS LN ","#128 ",75206,"36B ",01/10/2014,89,"Routine","5600 W LOVERS LN ,DALLAS,TX,75206","32,850643","-96,816322"
"COFFEE AT THE CORNER ","1601 BRYAN ST ","#110 ",75201,"45L ",23/10/2014,90,"Routine","1601 BRYAN ST ,DALLAS,TX,75201","32,850643","-96,816322"
"TEXAS STAR CAFE & CATERRING ","1601 BRYAN ST ","#105 ",75201,"45k ",23/10/2014,65,"Routine","1601 BRYAN ST ,DALLAS,TX,75201","32,8506432","-96,8163223"
"COMMUNITY BEER ","1530 INSPIRATION DR ","#200 ",75207,"45E ",09/05/2014,91,"Routine","1530 INSPIRATION DR ,DALLAS,TX,75207","32,783222","-96,799004"
"CONCESSION STAND ","2525 FRANKFORD RD ",,75006,"03G ",19/11/2014,89,"Routine","2525 FRANKFORD RD ,DALLAS,TX,75006","32,783222","-96,799004"
"DAN F LONG JR HIGH SCHOOL ","2525 FRANKFORD RD ",,75252,"03G ",19/11/2014,97,"Routine","2525 FRANKFORD RD ,DALLAS,TX,75252","32,791412","-96,8162"
"CVS #10056 ","5050 S LANCASTER RD ",,75216,"65G ",30/10/2014,90,"Routine","5050 S LANCASTER RD ,DALLAS,TX,75216","32,9970389","-96,8695731"
"CVS #10056 ","5050 S LANCASTER RD ",,75216,"65G ",30/10/2014,90,"Routine","5050 S LANCASTER RD ,DALLAS,TX,75216","32,9981918","-96,8007126"
"CVS PHARMACY #5894 ","13033 COIT RD ",,75240,"16P ",13/11/2014,94,"Routine","13033 COIT RD ,DALLAS,TX,75240","32,6868454","-96,7898244"
"CVS PHARMACY #6963 ","7102 CAMPBELL RD ",,75248,"05R ",03/06/2014,97,"Routine","7102 CAMPBELL RD ,DALLAS,TX,75248","32,6868454","-96,7898244"
"SUZY DONUTS ","2330 ROYAL LN ","#700 ",75229,"22G ",11/11/2014,80,"Routine","2330 ROYAL LN ,DALLAS,TX,75229","32,9259288","-96,769278"
"DALLAS CHOP HOUSE BURGER ","1501 MAIN ST ","FL1 ",75201,"45P ",10/04/2014,90,"Routine","1501 MAIN ST ,DALLAS,TX,75201","32,978767","-96,785141"
"DALLAS FISH MARKET ","1501 MAIN ST ","#FL1 ",75201,"45P ",10/04/2014,71,"Routine","1501 MAIN ST ,DALLAS,TX,75201","32,894924","-96,90094"
"DALLAS LIFE GROCERY ","1100 CADIZ ST ",,75215,"45T ",07/06/2014,100,"Routine","1100 CADIZ ST ,DALLAS,TX,75215","32,7806282","-96,799424"
"DALLAS LIFE FOUNDATION ","1100 CADIZ ST ",,75215,"45T ",07/06/2014,100,"Routine","1100 CADIZ ST ,DALLAS,TX,75215","32,7806282","-96,799424"
"DBU - THE REPUBLIC ","3000 MOUNTAIN CREEK PKWY ",,75211,"51BX ",10/11/2014,100,"Routine","3000 MOUNTAIN CREEK PKWY ,DALLAS,TX,75211","32,771545","-96,797958"
"DBU - CROWLEY BLDG ","3000 MOUNTAIN CREEK PKWY ",,75211,"51BX ",10/11/2014,84,"Routine","3000 MOUNTAIN CREEK PKWY ,DALLAS,TX,75211","32,771545","-96,797958"
"DBU - HORNER BALLPARK/EAST ","3000 MOUNTAIN CREEK PKWY ",,75211,"51BX ",10/11/2014,100,"Routine","3000 MOUNTAIN CREEK PKWY ,DALLAS,TX,75211","32,709854","-96,947105"
"DBU - HORNER BALLPARK/WEST ","3000 MOUNTAIN CREEK PKWY ",,75211,"51BX ",10/11/2014,100,"Routine","3000 MOUNTAIN CREEK PKWY ,DALLAS,TX,75211","32,709854","-96,947105"
"DBU - STUDY GROUNDS ","3000 MOUNTAIN CREEK PKWY ",,75211,"51BX ",10/11/2014,88,"Routine","3000 MOUNTAIN CREEK PKWY ,DALLAS,TX,75211","32,709854","-96,947105"
"DBU - THE SODA SHOPPE ","3000 MOUNTAIN CREEK PKWY ",,75211,"51BX ",10/11/2014,89,"Routine","3000 MOUNTAIN CREEK PKWY ,DALLAS,TX,75211","32,709854","-96,947105"
"DBU - THE REPUBLIC ","3000 MOUNTAIN CREEK PKWY ",,75211,"51BX ",10/11/2014,100,"Routine","3000 MOUNTAIN CREEK PKWY ,DALLAS,TX,75211","32,709854","-96,947105"
"DBU - CROWLEY BLDG ","3000 MOUNTAIN CREEK PKWY ",,75211,"51BX ",10/11/2014,84,"Routine","3000 MOUNTAIN CREEK PKWY ,DALLAS,TX,75211","32,709854","-96,947105"
"DBU - HORNER BALLPARK/EAST ","3000 MOUNTAIN CREEK PKWY ",,75211,"51BX ",10/11/2014,100,"Routine","3000 MOUNTAIN CREEK PKWY ,DALLAS,TX,75211","32,709854","-96,947105"
"DBU - HORNER BALLPARK/WEST ","3000 MOUNTAIN CREEK PKWY ",,75211,"51BX ",10/11/2014,100,"Routine","3000 MOUNTAIN CREEK PKWY ,DALLAS,TX,75211","32,709854","-96,947105"
"DBU - STUDY GROUNDS ","3000 MOUNTAIN CREEK PKWY ",,75211,"51BX ",10/11/2014,88,"Routine","3000 MOUNTAIN CREEK PKWY ,DALLAS,TX,75211","32,709854","-96,947105"
"DBU - THE SODA SHOPPE ","3000 MOUNTAIN CREEK PKWY ",,75211,"51BX ",10/11/2014,89,"Routine","3000 MOUNTAIN CREEK PKWY ,DALLAS,TX,75211","32,709854","-96,947105"
"DEL RIO MEXICAN RESTAURANT ","421 W LAWSON RD ",,75253,"70E ",15/10/2014,86,"Routine","421 W LAWSON RD ,DALLAS,TX,75253","32,709854","-96,947105"
"DENNIS GRILL ","11055 DENNIS RD ","#20 ",75229,"23F ",23/10/2014,84,"Routine","11055 DENNIS RD ,DALLAS,TX,75229","32,709854","-96,947105"
"DENNY'S RESTUARANT #7713 ","7120 S COCKRELL HILL RD ",,75236,"62Z ",08/08/2014,85,"Routine","7120 S COCKRELL HILL RD ,DALLAS,TX,75236","32,697609","-96,578964"
"DICKEY'S BARBECUE PIT ","2445 W NORTHWEST HWY ","#106 ",75220,"23W ",06/10/2014,81,"Routine","2445 W NORTHWEST HWY ,DALLAS,TX,75220","32,898758","-96,882004"
"SUBWAY SANDWICHES ","2445 W NORTHWEST HWY ",,75220,"23W ",06/10/2014,90,"Routine","2445 W NORTHWEST HWY ,DALLAS,TX,75220","32,661057","-96,890839"
"PIZZA PATRON ","5334 ROSS AVE ","#650 ",75206,"36W ",28/08/2014,92,"Routine","5334 ROSS AVE ,DALLAS,TX,75206","32,8588247","-96,8823076"
"WINGSTOP ","5334 ROSS AVE ","#600 ",75206,"36W ",28/08/2014,94,"Routine","5334 ROSS AVE ,DALLAS,TX,75206","32,8588247","-96,8823076"
"DOLPHIN LOUNGE ","1404 N RIVERFRONT BLVD ",,75207,"44M ",09/05/2014,91,"Routine","1404 N RIVERFRONT BLVD ,DALLAS,TX,75207","32,809353","-96,770935"
"DONUT SHOPPE ","5422 BERNAL DR ",,75212,"42Q ",16/09/2014,90,"Routine","5422 BERNAL DR ,DALLAS,TX,75212","32,809353","-96,770935"
"DOUGH BRO'S ITALIAN KITCHEN ","5181 KELLER SPRINGS RD ","#101 ",75248,"05S ",11/11/2014,90,"Routine","5181 KELLER SPRINGS RD ,DALLAS,TX,75248","32,79031","-96,82"
"LIBERTY BURGER ","5181 KELLER SPRINGS RD ","#104 ",75248,"05S ",11/11/2014,93,"Routine","5181 KELLER SPRINGS RD ,DALLAS,TX,75248","32,776741","-96,909676"
"DUDE SWEET CHOCOLATE ","408 W EIGHTH ST ",102,75208,"54C ",14/08/2014,97,"Routine","408 W EIGHTH ST ,DALLAS,TX,75208","32,968998","-96,820297"
"CAMPISI'S ","8008 CEDAR SPRINGS RD ","C2077 ",75235,"34Q ",01/10/2014,93,"Routine","8008 CEDAR SPRINGS RD ,DALLAS,TX,75235","32,968998","-96,820297"
"E-BAR TEX MEX RESTAURANT ","1901 N HASKELL AVE ","#120 ",75204,"45D ",12/11/2014,91,"Routine","1901 N HASKELL AVE ,DALLAS,TX,75204","32,747841","-96,828804"
"EBBY HOLLIDAY SCHOOL CAFETERIA ","10210 TEAGARDEN RD ",,75217,"69Q ",22/05/2014,100,"Routine","10210 TEAGARDEN RD ,DALLAS,TX,75217","32,843935","-96,8497731"
"SOUTHPAWS ORGANIC CAFï¿½ ","4023 OAK LAWN ",,75219,"35T ",20/11/2014,64,"Routine","4023 OAK LAWN ,DALLAS,TX,75219","32,801273","-96,785835"
"EGG ROLL HOUSE ","9429 EL CENTRO DR ","#102 ",75220,"23Z ",27/10/2014,84,"Routine","9429 EL CENTRO DR ,DALLAS,TX,75220","32,6760254","-96,6455329"
"EL DANDI BAR ","4814 S LAMAR ST ",,75215,"56B ",13/09/2014,84,"Routine","4814 S LAMAR ST ,DALLAS,TX,75215","32,8180237","-96,8030167"
"EL GLOBO TAQUERIA ","212 S LLEWELLYN AVE ",,75208,"54G ",08/10/2014,82,"Routine","212 S LLEWELLYN AVE ,DALLAS,TX,75208","32,863499","-96,858673"
"EL JIMADOR CLUB ","9745 HARRY HINES BLVD ",,75220,"33B ",25/09/2013,90,"Routine","9745 HARRY HINES BLVD ,DALLAS,TX,75220","32,746696","-96,76255"
"EL PAISANO ","305 S CARROLL AVE ",100,75226,"46F ",08/04/2014,96,"Routine","305 S CARROLL AVE ,DALLAS,TX,75226","32,7439336","-96,8320792"
"3 MEAL BAR & BUFFET ","555 S LAMAR ST ",100,75202,"45P ",07/08/2014,82,"Routine","555 S LAMAR ST ,DALLAS,TX,75202","32,852814","-96,879486"
"3 MEAL RESTAURANT & KITCHEN ","555 S LAMAR ST ",100,75202,"45P ",07/08/2014,92,"Routine","555 S LAMAR ST ,DALLAS,TX,75202","32,789886","-96,766212"
"FOOD STAGING AREA LEVEL 3 ","555 S LAMAR ST ",100,75202,"45P ",07/08/2014,96,"Routine","555 S LAMAR ST ,DALLAS,TX,75202","32,7756131","-96,803159"
"SECOND FLOOR BACK OF HOUSE ","555 S LAMAR ST ",100,75202,"45P ",07/08/2014,100,"Routine","555 S LAMAR ST ,DALLAS,TX,75202","32,7756131","-96,803159"
"SPORTS BAR ","555 S LAMAR ST ",100,75202,"45P ",07/08/2014,97,"Routine","555 S LAMAR ST ,DALLAS,TX,75202","32,7756131","-96,803159"
"FAIRMONT HOTEL - EMPLOYEE CAFETERIA ","1717 N AKARD ST ",,75202,"45K ",26/05/2014,89,"Routine","1717 N AKARD ST ,DALLAS,TX,75202","32,7756131","-96,803159"
"FAIRMONT HOTEL BRASSERE ROOM KITCHEN ","1717 N AKARD ST ",,75202,"45K ",26/05/2014,100,"Routine","1717 N AKARD ST ,DALLAS,TX,75202","32,7756131","-96,803159"
"FAIRMONT HOTEL- MAIN KITCHEN ","1717 N AKARD ST ",,75202,"45K ",26/05/2014,90,"Routine","1717 N AKARD ST ,DALLAS,TX,75202","32,786423","-96,802589"
"FAIRMONT HOTEL- PYRAMID ","1717 N AKARD ST ",,75202,"45K ",26/05/2014,85,"Routine","1717 N AKARD ST ,DALLAS,TX,75202","32,786423","-96,802589"
"FAIRMONT HOTEL - EMPLOYEE CAFETERIA ","1717 N AKARD ST ",,75202,"45K ",26/05/2014,89,"Routine","1717 N AKARD ST ,DALLAS,TX,75202","32,786423","-96,802589"
"FAIRMONT HOTEL BRASSERE ROOM KITCHEN ","1717 N AKARD ST ",,75202,"45K ",26/05/2014,100,"Routine","1717 N AKARD ST ,DALLAS,TX,75202","32,786423","-96,802589"
"FAIRMONT HOTEL- MAIN KITCHEN ","1717 N AKARD ST ",,75202,"45K ",26/05/2014,90,"Routine","1717 N AKARD ST ,DALLAS,TX,75202","32,786423","-96,802589"
"FAIRMONT HOTEL- PYRAMID ","1717 N AKARD ST ",,75202,"45K ",26/05/2014,85,"Routine","1717 N AKARD ST ,DALLAS,TX,75202","32,786423","-96,802589"
"FAMILY DOLLAR STORE OF TEXAS #8276 ","8550 S POLK ST ",,75232,"74F ",13/11/2014,89,"Routine","8550 S POLK ST ,DALLAS,TX,75232","32,786423","-96,802589"
"FAST FOOD STATION ","5560 EAST GRAND AVE ",,75223,"46H ",03/09/2013,91,"Routine","5560 EAST GRAND AVE ,DALLAS,TX,75223","32,786423","-96,802589"
"FERNANDO'S MEXICAN CUISINE ","4347 W NORTHWEST HWY ","#100 ",75220,"24X ",16/10/2014,93,"Routine","4347 W NORTHWEST HWY ,DALLAS,TX,75220","32,645813","-96,839462"
"FOCUS LEARNING ACADEMY ","4329 S HAMPTON RD ","GYM ",75233,"63H ",11/11/2014,87,"Routine","4329 S HAMPTON RD ,DALLAS,TX,75233","32,7933251","-96,7477405"
"3 MEAL BAR & BUFFET ","555 S LAMAR ST ",100,75202,"45P ",07/08/2014,82,"Routine","555 S LAMAR ST ,DALLAS,TX,75202","32,8639027","-96,8355607"
"3 MEAL RESTAURANT & KITCHEN ","555 S LAMAR ST ",100,75202,"45P ",07/08/2014,92,"Routine","555 S LAMAR ST ,DALLAS,TX,75202","32,690113","-96,8571961"
"FOOD STAGING AREA LEVEL 3 ","555 S LAMAR ST ",100,75202,"45P ",07/08/2014,96,"Routine","555 S LAMAR ST ,DALLAS,TX,75202","32,7756131","-96,803159"
"SECOND FLOOR BACK OF HOUSE ","555 S LAMAR ST ",100,75202,"45P ",07/08/2014,100,"Routine","555 S LAMAR ST ,DALLAS,TX,75202","32,7756131","-96,803159"
"SPORTS BAR ","555 S LAMAR ST ",100,75202,"45P ",07/08/2014,97,"Routine","555 S LAMAR ST ,DALLAS,TX,75202","32,7756131","-96,803159"
"FOREST DONUT ","7726 FOREST LN ",,75230,"16W ",03/10/2014,80,"Routine","7726 FOREST LN ,DALLAS,TX,75230","32,7756131","-96,803159"
"FOREST PARK MED/COFFEE BAR ","11970 N CENTRAL EXPW ",110,75243,"16X ",17/12/2013,97,"Routine","11970 N CENTRAL EXPW ,DALLAS,TX,75243","32,7756131","-96,803159"
"FORUM AT PARK LANE ","7831 PARK LN ",,75225,"26S ",19/06/2014,90,"Routine","7831 PARK LN ,DALLAS,TX,75225","32,9094406","-96,7731001"
"FORUM AT PARK LANE - 1ST FLOOR ","7831 PARK LN ",,75225,"26S ",19/06/2014,97,"Routine","7831 PARK LN ,DALLAS,TX,75225","32,91135","-96,768059"
